Wavelength, Specific Current n/A/MW/s
0.049940781681799606, 13125710.98721405
0.049940781681799606, 11534027.13656838
0.049940781681799606, 10135358.162059639
0.061587050927752074, 8680258.43914831
0.061587050927752074, 7644476.516538425
0.061587050927752074, 6717472.270454774
0.07323332017370632, 5926049.606214392
0.0674101855507292, 5000031.620684026
0.0778918278720866, 4024203.4661720456
0.10118436636399508, 2989190.774425087
0.13146466640347398, 2388201.321141086
0.12758257665482198, 2065969.9045921469
0.1547572048953807, 1723615.1844588886
0.1819318331359394, 1426770.4123522793
0.21298855112514659, 1188591.0054339922
0.38934634256387035, 1073118.1817339351
0.3876825898144478, 897798.8933510853
0.39932885906040205, 778337.2580116581
0.39350572443742493, 659483.8311828951
0.5157915515199356, 1350629.8140312918
0.5546124490064468, 1604693.734279549
0.59731543624161, 1930031.7186071952
0.7196012633241207, 3952725.2343719723
0.7487169364390045, 4749453.047125136
0.7836557441768655, 5484855.935175866
0.8418870904066313, 6324830.269112393
0.8884721673904448, 7584818.858547201
0.9816423213580734, 8587671.683867648
1.1252796420581639, 9948510.755827261
1.261152783260954, 11004384.181851877
1.5872483221476497, 12983255.051137008
1.7642716146861428, 14676043.709481915
2.262731938412948, 20016856.659537595
2.5189498618239234, 21605813.33696208
2.775167785234899, 20602665.12512133
3.0313857086458746, 19385473.247360647
3.2876036320568485, 17458468.11203875
3.543821555467824, 16252467.799174575
3.7883932096328454, 14919501.939984443
4.039952625345439, 13838530.185640471
4.032964863797869, 12041897.467664946
4.289182787208842, 14335121.692796703
4.54540071061982, 13111695.504892774
4.801618634030792, 13196013.442867324
5.057836557441767, 12024756.254416738
5.314054480852743, 10910731.912750352
5.570272404263719, 9862966.307373215
5.826490327674694, 8816361.698908364
6.08270825108567, 7826279.671500854
6.338926174496645, 6995797.226761664
6.595144097907621, 6334128.231427353
6.851362021318593, 5580908.968030947
7.095933675483618, 5066575.665201175
7.340505329648639, 4528938.074735992
7.596723253059615, 4137994.137355614
7.841294907224636, 3717313.926654978
8.085866561389658, 3343685.218794181
8.342084484800633, 3032291.8396112807
8.598302408211609, 2729409.7104204907
8.854520331622581, 2447611.748277556
9.075799447295697, 2235434.88606135
9.297078562968814, 2016181.9683594212
9.553296486379786, 1826465.0058846592
9.809514409790761, 1673265.2824962507
10.042439794709832, 1489594.4679176419
10.2753651796289, 1381274.3981236739
10.531583103039875, 1253976.9583390914
10.78780102645085, 1148182.7285816043
11.044018949861826, 1021421.3672056356
11.300236873272798, 929271.2426862876
11.556454796683774, 847695.7632627573
11.81267272009475, 787454.0628285666
12.068890643505725, 705399.3294065497
12.3251085669167, 645886.929095097
12.581326490327676, 595834.7464203564
12.837544413738652, 552605.3276648526
13.093762337149627, 487673.46836506674
13.3499802605606, 448274.58549452637
13.505263850506648, 421122.9221931256
13.676075799447297, 409388.3148069525
13.885708645874459, 362748.8198332134
14.141926569285435, 349621.88976680575
14.39814449269641, 317909.9960840539
14.654362416107382, 290467.58385612216
14.898934070272404, 269019.4850399613
15.143505724437428, 243653.45272473857
15.3997236478484, 231597.25452485238
15.655941571259376, 219550.42771704917
15.898849472674975, 199895.6127619904
15.973567096149019, 177311.8702305373
15.974272930648773, 168388.33215722622
16.261547572048954, 175615.14603329217
16.51776549545993, 160713.15660910332
16.773983418870905, 152272.09427741534
17.017261043119706, 140438.61688119225
17.2061894108874, 134779.30787675717
17.454125542834586, 126880.63068357816
17.56010659297276, 121232.2260197889
17.7755625740229, 111108.04792144708
17.97521290395353, 105973.60933714654
18.253059613106988, 102840.64513804785
0.6375838926174495, 2494932.6331577427
0.7046979865771803, 3271190.8469136655
2.04697986577181, 17484252.05988344

